linear_regression,ridge_regression,random_forest,gradient_boosting,xgboost
"TemperatureRegressionModel(model_name='linear_regression', model_params={})","TemperatureRegressionModel(model_name='ridge_regression',
                           model_params={'alpha': 1.0})","TemperatureRegressionModel(model_name='random_forest',
                           model_params={'max_depth': 10, 'min_samples_leaf': 1,
                                         'min_samples_split': 2,
                                         'n_estimators': 100})","TemperatureRegressionModel(model_name='gradient_boosting',
                           model_params={'learning_rate': 0.1, 'max_depth': 3,
                                         'n_estimators': 100})","TemperatureRegressionModel(model_name='xgboost',
                           model_params={'colsample_bytree': 0.8,
                                         'learning_rate': 0.1, 'max_depth': 5,
                                         'n_estimators': 100,
                                         'subsample': 0.8})"
"{'r2': 1.0, 'mae': 2.09703543418982e-13, 'mse': 7.294243507110901e-26, 'rmse': 2.7007857203249024e-13}","{'r2': 0.7975348923805393, 'mae': 0.5246947050881653, 'mse': 0.4449381450702005, 'rmse': 0.6670368393651137}","{'r2': 0.5448623075211918, 'mae': 0.7855840045200312, 'mse': 1.0002124465993045, 'rmse': 1.0001062176585567}","{'r2': 0.544963876305859, 'mae': 0.7851661227138322, 'mse': 0.9999892386244679, 'rmse': 0.9999946192977579}","{'r2': 0.5376835336671462, 'mae': 0.7897212963943482, 'mse': 1.0159885492574523, 'rmse': 1.0079625733416158}"
models/REGRESSION_linear_regression.pkl,models/REGRESSION_ridge_regression.pkl,models/REGRESSION_random_forest.pkl,models/REGRESSION_gradient_boosting.pkl,models/REGRESSION_xgboost.pkl
